številka izvajalca;šifra nadrejenega;šifra osnovni;šifra podrejeni;šifra lokacije;naziv organizacije (pravne osebe);dodatni naziv;naslov - ulica in hišna številka;naslov - pošta;šifra VZD;naziv VZD;šifra pravnega statusa izvajalca;opis pravnega statusa izvajalca;šifra tipa izvajalca;opis tipa izvajalca;šifra občine;ime občine;šifra ZZV;izberi 1 za izvajalec samo 1X;število vrstic (VZD-jev) pri posameznemu izvajalcu
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;210;Internistična onkologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;211;Kardiologija in vaskularna medicina v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;212;Kardiovaskularna kirurgija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;214;Klinična mikrobiologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;216;Nefrologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;218;Nevrologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;219;Nuklearna medicina v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;220;Oftalmologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;221;Onkologija z radioterapijo v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;222;Ortopedska kirurgija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;223;Otorinolaringologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;226;Patologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;227;Pediatrija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;228;Plastična, rekonstrukcijska in estetska kirurgija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;229;Pnevmologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;231;Radiologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;232;Revmatologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;234;Splošna kirurgija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;237;Travmatologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;238;Urgentna medicina v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;239;Urologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;243;Lekarniška dejavnost v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;249;Endokrinologija, diabetologija in tireologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;306;Ginekologija v splošni zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;505;Medicinska biokemija;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;507;Fizioterapija;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;701;Druge obveznosti ZZZS;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;00;SB NOVA GORICA;;ULICA PADLIH BORCEV 13 A;5290 ŠEMPETER PRI GORICI;706;Urejanje zdravstva, izobraževanja, kulturnih in drugih socialnih storitev;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;183;ŠEMPETER-VRTOJBA;2;0;66
00016;;00016;;03;SB NOVA GORICA;ODDELEK ZA INVALIDNO MLADINO;LISKUR 19;5000 NOVA GORICA;127;Pediatrija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;084;NOVA GORICA;2;0;66
00016;;00016;;03;SB NOVA GORICA;ODDELEK ZA INVALIDNO MLADINO;LISKUR 19;5000 NOVA GORICA;204;Fizikalna in rehabilitacijska medicina v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;084;NOVA GORICA;2;0;66
00016;;00016;;03;SB NOVA GORICA;ODDELEK ZA INVALIDNO MLADINO;LISKUR 19;5000 NOVA GORICA;227;Pediatrija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;084;NOVA GORICA;2;0;66
00016;;00016;;03;SB NOVA GORICA;ODDELEK ZA INVALIDNO MLADINO;LISKUR 19;5000 NOVA GORICA;327;Pediatrija v splošni zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;084;NOVA GORICA;2;0;66
00016;;00016;;03;SB NOVA GORICA;ODDELEK ZA INVALIDNO MLADINO;LISKUR 19;5000 NOVA GORICA;506;Delovna terapija;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;084;NOVA GORICA;2;0;66
00016;;00016;;03;SB NOVA GORICA;ODDELEK ZA INVALIDNO MLADINO;LISKUR 19;5000 NOVA GORICA;507;Fizioterapija;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;084;NOVA GORICA;2;0;66
00016;;00016;;03;SB NOVA GORICA;ODDELEK ZA INVALIDNO MLADINO;LISKUR 19;5000 NOVA GORICA;509;Logopedija;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;084;NOVA GORICA;2;0;66
00016;;00016;;03;SB NOVA GORICA;ODDELEK ZA INVALIDNO MLADINO;LISKUR 19;5000 NOVA GORICA;512;Psihologija;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;084;NOVA GORICA;2;0;66
00017;;00017;;00;ZZV NOVA GORICA;;VIPAVSKA CESTA 13;5000 NOVA GORICA;214;Klinična mikrobiologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;08;ZAVOD ZA ZDRAVSTVENO VARSTVO;084;NOVA GORICA;2;1;5
00017;;00017;;00;ZZV NOVA GORICA;;VIPAVSKA CESTA 13;5000 NOVA GORICA;246;Javno zdravje v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;08;ZAVOD ZA ZDRAVSTVENO VARSTVO;084;NOVA GORICA;2;0;5
00017;;00017;;00;ZZV NOVA GORICA;;VIPAVSKA CESTA 13;5000 NOVA GORICA;508;Laboratorijska dejavnost;1;JAVNI ZAVOD;08;ZAVOD ZA ZDRAVSTVENO VARSTVO;084;NOVA GORICA;2;0;5
00017;;00017;;00;ZZV NOVA GORICA;;VIPAVSKA CESTA 13;5000 NOVA GORICA;546;Javno zdravje v drugih dejavnostih;1;JAVNI ZAVOD;08;ZAVOD ZA ZDRAVSTVENO VARSTVO;084;NOVA GORICA;2;0;5
00017;;00017;;00;ZZV NOVA GORICA;;VIPAVSKA CESTA 13;5000 NOVA GORICA;706;Urejanje zdravstva, izobraževanja, kulturnih in drugih socialnih storitev;1;JAVNI ZAVOD;08;ZAVOD ZA ZDRAVSTVENO VARSTVO;084;NOVA GORICA;2;0;5
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;229;Pnevmologija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;1;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;230;Psihiatrija v specialistični zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;301;Medicina dela, prometa in športa;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;302;Splošna in družinska medicina;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;306;Ginekologija v splošni zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;327;Pediatrija v splošni zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;338;Urgentna medicina v splošni zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;346;Javno zdravje v splošni zunajbolnišnični dejavnosti;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;402;Otroško in preventivno zobozdravstvo;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;404;Splošno zobozdravstvo;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;446;Javno zdravje v zobozdravstveni dejavnosti;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;505;Medicinska biokemija;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;509;Logopedija;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;510;Patronažno varstvo;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;512;Psihologija;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;513;Reševalni prevozi;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;544;Zdravstvena nega v drugih dejavnostih;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;00;ZD BREŽICE;;ČERNELČEVA CESTA 8;8250 BREŽICE;706;Urejanje zdravstva, izobraževanja, kulturnih in drugih socialnih storitev;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;03;ZDRAVSTVENI DOM BREŽICE;LOKACIJA DOBOVA;DOBOVA;8257 DOBOVA;404;Splošno zobozdravstvo;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;05;ZDRAVSTVENI DOM BREŽICE;ZOBNA AMBULANTA OŠ BREŽICE;LEVSTIKOVA 16;8250 BREŽICE;404;Splošno zobozdravstvo;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00100;;00100;;06;LOKACIJA ZOBNA AMBULANTA OŠ ARTIČE;;ARTIČE 39;8253 ARTIČE;404;Splošno zobozdravstvo;1;JAVNI ZAVOD;01;OSNOVNO ZDRAVSTVO;009;BREŽICE;1;0;21
00128;;00128;;00;SB BREŽICE;;ČERNELČEVA CESTA 15;8250 BREŽICE;101;Abdominalna kirurgija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;009;BREŽICE;1;1;50
00128;;00128;;00;SB BREŽICE;;ČERNELČEVA CESTA 15;8250 BREŽICE;102;Anesteziologija, reanimatologija in perioperativna intenzivna medicina v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;009;BREŽICE;1;0;50
00128;;00128;;00;SB BREŽICE;;ČERNELČEVA CESTA 15;8250 BREŽICE;103;Dermatovenerologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;009;BREŽICE;1;0;50
00128;;00128;;00;SB BREŽICE;;ČERNELČEVA CESTA 15;8250 BREŽICE;105;Gastroenterologija v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;009;BREŽICE;1;0;50
00128;;00128;;00;SB BREŽICE;;ČERNELČEVA CESTA 15;8250 BREŽICE;106;Ginekologija in porodništvo v bolnišnični dejavnosti;1;JAVNI ZAVOD;03;SPLOŠNA BOLNIŠNICA;009;BREŽICE;1;0;50
